"","review_count","stars","attributes.RestaurantsAttire","attributes.RestaurantsTakeOut","attributes.BusinessAcceptsCreditCards","attributes.NoiseLevel","attributes.GoodForKids","attributes.RestaurantsReservations","attributes.RestaurantsGoodForGroups","attributes.RestaurantsPriceRange2","attributes.HasTV","attributes.BikeParking","attributes.RestaurantsDelivery","attributes.OutdoorSeating","attributes.Caters","attributes.WiFi","city","attributes.BusinessParking.garage","attributes.BusinessParking.street","attributes.BusinessParking.validated","attributes.BusinessParking.lot","attributes.BusinessParking.valet","attributes.GoodForMeal.dessert","attributes.GoodForMeal.latenight","attributes.GoodForMeal.lunch","attributes.GoodForMeal.dinner","attributes.GoodForMeal.brunch","attributes.GoodForMeal.breakfast","attributes.Ambience.touristy","attributes.Ambience.hipster","attributes.Ambience.romantic","attributes.Ambience.divey","attributes.Ambience.intimate","attributes.Ambience.trendy","attributes.Ambience.upscale","attributes.Ambience.classy","attributes.Ambience.casual","Mon","Tue","Wed","Thu","Fri","Sat","Sun","Pos_Rev_rate","id"
"1",19,2.5,"formal","True","True","very_loud","True","False","True","4","True","True","True","False","False","no","Madison","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False",13,13,13,13,13,13,13,0.526315789473684,"AlwKuzyrrxlZ04ktebwmcA"
"2",289,4,"dressy","False","True","average","False","True","True","3","True","True","False","True","True","no","Madison","False","False","False","True","False","None","None","False","True","False","False","False","False","True","False","False","False","False","True","False",24,7,8,8,9,9,11.3210930442638,0.906574394463668,"aRIZPbrHwnM04TTXLYrFMg"
"3",21,3.5,"casual","True","True","average","True","False","True","2","True","True","True","True","True","free","Madison","False","False","False","True","False","False","False","True","True","False","False","False","False","False","False","False","False","False","False","False",11,11,11,11,11,11,11,0.904761904761905,"Z9wnRnSvmt7PeMo69x3s4A"
"4",113,3,"casual","True","True","quiet","True","True","True","2","False","True","True","False","False","no","Madison","False","True","False","False","False","False","False","True","True","False","False","False","False","False","False","False","False","False","False","False",13.25,13.25,13.25,6,13.25,12,12,0.628318584070796,"vn5f16PcHU-feucWgK7r1g"
"5",554,4,"casual","True","True","average","True","False","False","2","True","True","False","False","False","no","Madison","True","True","False","False","False","False","None","True","True","False","False","False","False","False","False","False","False","False","True","True",24,11,12,12,12,12,11,0.832129963898917,"LZ_R2OLgZQSQMMzlp8uUOA"
"6",141,3.5,"casual","True","True","average","True","True","True","2","True","True","False","True","False","free","Madison","False","True","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","True",15,15,15,15,15.5,15.5,16,0.773049645390071,"kz5UANVmPxpllcoLnZBNhg"
"7",146,4.5,"casual","True","True","average","True","False","True","1","True","False","False","False","False","no","Madison","False","False","False","True","False","False","False","True","True","False","False","False","False","False","False","False","False","False","False","True",12,12,12,12,12,12,12,0.883561643835616,"UyTYTtyZWym-7u84XMgSOQ"
"8",185,4,"casual","True","True","average","True","False","True","2","True","True","False","True","False","free","Monona","False","False","False","True","False","False","False","True","True","False","False","False","False","False","False","False","True","False","False","True",24,13,13,15,15,15,12,0.87027027027027,"TSnKwZnpX6SHbKsFKjV-0Q"
"9",52,2,"casual","True","True","average","True","False","True","2","True","True","True","False","False","free","Madison","False","False","False","True","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","True",24,11,14,14,14,14,14,0.461538461538462,"HlYzk84INQaNslFT-lyBFw"
"10",15,3.5,"casual","True","True","average","True","False","True","1","True","True","False","True","False","free","Madison","False","True","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","True",6,13,15,15,15.5,20.5,20,0.666666666666667,"hGFtSo3mezqGrjuCYMnt5g"
"11",184,3.5,"casual","True","True","average","True","True","True","2","True","True","True","True","True","free","Middleton","False","False","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","False",10,10,10,10,11,11,10,0.820652173913043,"Ojw5eTqzbv6k27_Df3q0-A"
"12",91,2.5,"casual","True","True","average","True","True","True","2","True","True","True","True","False","no","Madison","False","False","False","False","False","False","False","True","True","False","False","False","False","False","False","False","False","False","False","True",15,15,15,15,15,15,15,0.648351648351648,"NJ4S3JX56JEZGWlAfpF9kw"
"14",91,3.5,"casual","True","True","average","False","True","True","3","True","False","False","True","False","no","Madison","False","False","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False",5.5,5.5,5.5,5.5,5.5,5.5,11.3210930442638,0.879120879120879,"6AwirUhnpzMZynePZbrdBQ"
"15",59,3.5,"casual","True","True","average","True","True","True","2","True","False","False","True","False","no","Madison","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",13,13,13,13,14,16,13,0.847457627118644,"ajNgLG4Eev8GQYZeMBPpdA"
"16",49,3.5,"casual","True","True","average","True","True","True","2","True","True","False","True","False","free","Madison","False","False","False","False","False","False","False","True","True","False","False","False","False","False","False","False","False","False","False","True",24,10,10,10,10,5,11.3210930442638,0.693877551020408,"kGmntPru09mK3w8uD8oI8g"
"17",155,3,"casual","True","True","average","True","True","True","2","True","True","True","True","True","free","Fitchburg","False","False","False","True","False","False","False","True","True","False","False","False","False","False","False","False","False","False","True","True",13,12,12,12,13,15,13,0.825806451612903,"ZcAoKSDT6BNcWsn3o4-WVA"
"18",132,4,"casual","True","True","average","False","True","True","2","True","True","False","True","False","no","Middleton","False","True","False","False","False","False","False","False","True","False","False","False","False","True","False","False","False","False","True","False",4,4,4,4,5,5,11.3210930442638,0.856060606060606,"29o-qEDIRpXmVmSPNsH4sA"
"19",3,3.5,"casual","True","True","average","True","False","True","1","True","True","False","False","False","free","De Forest","False","False","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False",13.7625524769102,10.8095518867925,10.8703533026114,11.0355122324159,11.7995444191344,12.2494266055046,11.3210930442638,1,"6Z9cYpKyEaNKakCcA3ZM_A"
"20",202,3.5,"casual","True","True","average","True","True","True","2","True","True","False","False","False","no","Madison","False","False","False","True","False","False","False","True","True","False","False","False","False","False","False","False","True","False","True","False",5.5,5.5,5.5,5.5,11.5,11.5,10,0.816831683168317,"3-HFGxmbzSax-NySJ_LzDg"
"21",17,3.5,"casual","True","True","average","True","True","True","2","True","True","False","True","False","free","Cottage Grove","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",24,10,10,10,12,12,4,0.823529411764706,"dVNclDVvN2nYnLkAccjeTA"
"22",22,4.5,"casual","True","False","very_loud","False","False","False","1","True","True","False","True","False","no","McFarland","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False",15,15,15,15,15.5,18.5,18,0.909090909090909,"H3mVlmy_Nt9KakdveGO58A"
"23",80,3.5,"casual","True","True","quiet","True","True","True","1","True","True","True","True","False","no","Madison","None","None","False","False","False","False","None","True","True","False","None","False","None","False","True","None","False","False","False","True",12,12,12,12,12,12,12,0.7875,"zERyZLsAyB47bMZlfUV-SQ"
"24",62,4.5,"casual","True","False","average","False","False","False","1","True","True","False","True","False","no","Madison","False","None","False","True","False","False","None","None","True","False","False","False","False","False","None","False","False","False","False","True",16,16,16,16,16.5,16.5,7,0.838709677419355,"NVIaU1w3e8KSeaGihSWicg"
"25",208,4,"casual","True","True","average","False","False","True","2","True","True","True","True","True","free","Madison","True","True","False","False","False","False","False","True","True","True","False","False","True","False","False","False","True","False","False","True",11,11,11,11,14,16,13,0.908653846153846,"Sh_c-UZ8Tk_H1porVieNmA"
