"","review_count","stars","attributes.RestaurantsAttire","attributes.RestaurantsTakeOut","attributes.BusinessAcceptsCreditCards","attributes.NoiseLevel","attributes.GoodForKids","attributes.RestaurantsReservations","attributes.RestaurantsGoodForGroups","attributes.RestaurantsPriceRange2","attributes.HasTV","attributes.BikeParking","attributes.RestaurantsDelivery","attributes.OutdoorSeating","attributes.Caters","attributes.WiFi","city","attributes.BusinessParking.garage","attributes.BusinessParking.street","attributes.BusinessParking.validated","attributes.BusinessParking.lot","attributes.BusinessParking.valet","attributes.GoodForMeal.dessert","attributes.GoodForMeal.latenight","attributes.GoodForMeal.lunch","attributes.GoodForMeal.dinner","attributes.GoodForMeal.brunch","attributes.GoodForMeal.breakfast","attributes.Ambience.touristy","attributes.Ambience.hipster","attributes.Ambience.romantic","attributes.Ambience.divey","attributes.Ambience.trendy","attributes.Ambience.upscale","attributes.Ambience.classy","attributes.Ambience.casual","Mon","Tue","Wed","Thu","Fri","Sat","Sun","Pos_Rev_rate"
"1",19,2.5,"formal","True","True","very_loud","True","False","True","4","True","True","True","False","False","no","Madison","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False",13,13,13,13,13,13,13,0.526315789473684
"2",289,4,"dressy","False","True","average","False","True","True","3","True","True","False","True","True","no","Madison","False","False","False","True","False","None","None","False","True","False","False","False","False","True","False","False","False","True","False",24,7,8,8,9,9,11.3210930442638,0.906574394463668
"3",21,3.5,"casual","True","True","average","True","False","True","2","True","True","True","True","True","free","Madison","False","False","False","True","False","False","False","True","True","False","False","False","False","False","False","False","False","False","False",11,11,11,11,11,11,11,0.904761904761905
"4",113,3,"casual","True","True","quiet","True","True","True","2","False","True","True","False","False","no","Madison","False","True","False","False","False","False","False","True","True","False","False","False","False","False","False","False","False","False","False",13.25,13.25,13.25,6,13.25,12,12,0.628318584070796
"5",554,4,"casual","True","True","average","True","False","False","2","True","True","False","False","False","no","Madison","True","True","False","False","False","False","None","True","True","False","False","False","False","False","False","False","False","True","True",24,11,12,12,12,12,11,0.832129963898917
"6",141,3.5,"casual","True","True","average","True","True","True","2","True","True","False","True","False","free","Madison","False","True","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True",15,15,15,15,15.5,15.5,16,0.773049645390071
"7",146,4.5,"casual","True","True","average","True","False","True","1","True","False","False","False","False","no","Madison","False","False","False","True","False","False","False","True","True","False","False","False","False","False","False","False","False","False","True",12,12,12,12,12,12,12,0.883561643835616
"8",185,4,"casual","True","True","average","True","False","True","2","True","True","False","True","False","free","Monona","False","False","False","True","False","False","False","True","True","False","False","False","False","False","False","True","False","False","True",24,13,13,15,15,15,12,0.87027027027027
"9",52,2,"casual","True","True","average","True","False","True","2","True","True","True","False","False","free","Madison","False","False","False","True","False","False","False","True","False","False","False","False","False","False","False","False","False","False","True",24,11,14,14,14,14,14,0.461538461538462
"10",15,3.5,"casual","True","True","average","True","False","True","1","True","True","False","True","False","free","Madison","False","True","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True",6,13,15,15,15.5,20.5,20,0.666666666666667
"11",184,3.5,"casual","True","True","average","True","True","True","2","True","True","True","True","True","free","Middleton","False","False","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False",10,10,10,10,11,11,10,0.820652173913043
"12",91,2.5,"casual","True","True","average","True","True","True","2","True","True","True","True","False","no","Madison","False","False","False","False","False","False","False","True","True","False","False","False","False","False","False","False","False","False","True",15,15,15,15,15,15,15,0.648351648351648
"14",91,3.5,"casual","True","True","average","False","True","True","3","True","False","False","True","False","no","Madison","False","False","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False",5.5,5.5,5.5,5.5,5.5,5.5,11.3210930442638,0.879120879120879
"15",59,3.5,"casual","True","True","average","True","True","True","2","True","False","False","True","False","no","Madison","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",13,13,13,13,14,16,13,0.847457627118644
"16",49,3.5,"casual","True","True","average","True","True","True","2","True","True","False","True","False","free","Madison","False","False","False","False","False","False","False","True","True","False","False","False","False","False","False","False","False","False","True",24,10,10,10,10,5,11.3210930442638,0.693877551020408
"17",155,3,"casual","True","True","average","True","True","True","2","True","True","True","True","True","free","Fitchburg","False","False","False","True","False","False","False","True","True","False","False","False","False","False","False","False","False","True","True",13,12,12,12,13,15,13,0.825806451612903
"18",132,4,"casual","True","True","average","False","True","True","2","True","True","False","True","False","no","Middleton","False","True","False","False","False","False","False","False","True","False","False","False","False","True","False","False","False","True","False",4,4,4,4,5,5,11.3210930442638,0.856060606060606
