"","user_id","business_id","text","date","compliment_count","name","review_count","is.open","stars","attributes.RestaurantsAttire","attributes.RestaurantsTakeOut","attributes.BusinessAcceptsCreditCards","attributes.NoiseLevel","attributes.GoodForKids","attributes.RestaurantsReservations","attributes.RestaurantsGoodForGroups","attributes.RestaurantsPriceRange2","attributes.HasTV","attributes.Alcohol","attributes.BikeParking","attributes.RestaurantsDelivery","attributes.ByAppointmentOnly","attributes.OutdoorSeating","attributes.Caters","attributes.WheelchairAccessible","attributes.WiFi","attributes.BYOB","attributes.Corkage","attributes.RestaurantsTableService","attributes.BusinessAcceptsBitcoin","attributes.HappyHour","attributes.DogsAllowed","attributes.CoatCheck","attributes.Music","attributes.BestNights","attributes.BYOBCorkage","attributes.DriveThru","attributes.GoodForDancing","attributes.Smoking","attributes.AgesAllowed","attributes.DietaryRestrictions","attributes.RestaurantsCounterService","attributes.Open24Hours","hours.Monday","hours.Tuesday","hours.Wednesday","hours.Thursday","hours.Friday","hours.Saturday","hours.Sunday","categories","state","city","attributes.BusinessParking.garage","attributes.BusinessParking.street","attributes.BusinessParking.validated","attributes.BusinessParking.lot","attributes.BusinessParking.valet","attributes.GoodForMeal.dessert","attributes.GoodForMeal.latenight","attributes.GoodForMeal.lunch","attributes.GoodForMeal.dinner","attributes.GoodForMeal.brunch","attributes.GoodForMeal.breakfast","attributes.Ambience.touristy","attributes.Ambience.hipster","attributes.Ambience.romantic","attributes.Ambience.divey","attributes.Ambience.intimate","attributes.Ambience.trendy","attributes.Ambience.upscale","attributes.Ambience.classy","attributes.Ambience.casual"
"1","FqNT4NXpauSXVzP9TXHkMg","sXYkjcuGhtaYP8yeQPaHgA","one of the interesting mal<U+00F6>rts yet....with mulled wine, domaine cadon (a ginger liquer) and 'something else' cadon (an all-spice liquer...who knew?!)","2015-01-16 03:17:23",0,"Heritage Tavern",478,1,4.5,"'casual'","False","True","u'average'","False","True","True","3","False","u'full_bar'","True","False",NA,"True","True","True","'free'",NA,NA,"True",NA,"True","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16:0-0:30","16:0-0:30","16:0-0:30","16:0-0:30","16:0-1:0","17:0-1:0","9:30-14:0","Gastropubs, Restaurants, American (New), Breakfast & Brunch","WI","Madison","False","True","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","False"
"2","uf1UdKswKWOqFLUvRvvbzA","XmsBtCykUtObXg4Q1mYpvg","still a raving fan of fried chicken and waffles after all these brunches!","2011-07-31 16:16:45",0,"Graze",1144,1,4,"u'casual'","True","True","u'average'","True","False","True","2","True","u'full_bar'","True","False","False","True","False","True","u'free'",NA,NA,NA,NA,"True","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-22:0","9:30-22:0","9:30-15:0","Gastropubs, Restaurants, American (New), Local Flavor, Diners","WI","Madison","False","True","False","False","False","None","False","None","True","None","False","False","False","False","False","False","True","False","True","False"
"3","uf1UdKswKWOqFLUvRvvbzA","G099MT9cwtwgdsR71JLp6w","love burrata! the vin santo bianco is great! pasta!! seafood is so fresh!","2013-05-17 23:06:41",0,"Osteria Papavero",187,1,4,"u'casual'","True","True","u'average'","False","True","True","2","False","u'full_bar'","True","False",NA,"True","False","True","u'free'",NA,NA,"True","False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17:0-21:0","17:0-21:0","17:0-21:0","17:0-21:0","17:0-22:0","17:0-22:0",NA,"Restaurants, Italian","WI","Madison","False","True","False","False","False","None","False","True","True","False","False","False","False","True","False","True","False","False","True","False"
"4","cgKeHRc8hGmDiiukyT1AUg","N3uOrQCnx_n_841Q8EwbzQ","baba ghannouge","2012-04-06 23:42:51",0,"Mediterranean Hookah Lounge and Cafe",47,1,4,"'casual'","True","True","'average'","False","True","True","2","True","u'full_bar'","True","False","False","False","False","True","u'free'",NA,NA,"True","False","True","False","False","{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': True}","{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': True, 'thursday': False, 'sunday': False, 'saturday': True}",NA,NA,"False","u'yes'",NA,NA,NA,NA,"0:0-0:0","16:0-22:0","16:0-0:0","16:0-0:0","16:0-2:30","16:0-2:30",NA,"Food, Restaurants, Bars, Lounges, Middle Eastern, Hookah Bars, Greek, Nightlife, Mediterranean","WI","Madison","False","False","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False","False","True","False"
"5","CH9VC7aLLsV8NFdaoU_uog","Hty6oLQ1_FSRW5XgZtWrXw","they deliver to a pretty wide area.","2016-05-22 00:32:23",0,"Lao Laan-Xang",130,1,3.5,"'casual'","True","True","u'average'","True",NA,"True","2","True","u'full_bar'","True","True",NA,"True","True",NA,"u'free'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17:0-21:0","17:0-21:0","17:0-21:0","17:0-21:0","17:0-21:30","17:0-21:30",NA,"Laotian, Restaurants, Thai","WI","Madison","False","True","False","False","False","False","False","True","True","False","False","False","False","False","False","False","False","False","False","True"
"6","bpgfLdp69PIjI83hIsAwog","1a3Pkkwb7yB_vmxgKwmqXw","love, love, love the green picnic table on salvador dali.","2013-08-30 22:41:09",0,"Fresco",212,1,4,"'dressy'","False","True","u'average'","False","True","True","3","False","u'full_bar'","True","False",NA,"True","True",NA,"u'free'",NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17:0-21:0","17:0-21:0","17:0-22:0","16:0-22:0","16:0-22:0","16:0-20:0","Restaurants, American (New)","WI","Madison","True","True","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","True","False"
"7","G5BqF32PyIQ5IvplDvpKnA","0umZMt2hvc85BQEJ81YP2A","2 tall boy pbr`s all night every night","2012-06-01 04:26:14",0,"Atomic Koi",60,1,4,NA,NA,"True","u'average'",NA,"False","True","2","True","u'full_bar'","True",NA,NA,"True",NA,NA,"'free'",NA,NA,NA,NA,"True",NA,"False","{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': True, 'live': False, 'video': False, 'karaoke': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16:0-2:0","16:0-2:0","16:0-2:0","16:0-2:0","14:0-2:30","16:0-2:30","16:0-2:0","Bars, Cocktail Bars, Lounges, Nightlife","WI","Fitchburg","False","False","False","True","False",NA,NA,NA,NA,NA,NA,"False","None","False","False","None","None","False","False","True"
"8","uf1UdKswKWOqFLUvRvvbzA","hoqk5SFvERVDJVXUaFLpLQ","surprised by the new change. no more king and mane..","2011-06-02 00:58:06",0,"The Tipsy Cow",438,1,4,"u'casual'","True","True","u'average'","False","False","True","2","True","u'full_bar'","True","False",NA,"True","False",NA,"u'free'",NA,NA,NA,NA,NA,"False",NA,"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': None, 'live': False, 'video': False, 'karaoke': False}","{'monday': True, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': False}",NA,NA,"False",NA,NA,NA,NA,NA,"11:0-23:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:30","11:0-2:30",NA,"American (Traditional), Beer, Wine & Spirits, Bars, Restaurants, Nightlife, Local Flavor, Food","WI","Madison","True","True","False","False","False","False","None","True","True","False","False","False","False","False","False","False","False","False","False","True"
"9","WxogLmy3rS6qUSpAHRaEkg","YLqO9xm5s0KJ9JzWukAk8Q","i want to rate this place lower just so others won not find out what an awesome menu they have and thus wont come... is that selfish?","2015-10-18 00:20:36",1,"North and South Seafood & Smokehouse",211,1,4.5,"'casual'","True","True","u'average'","True","True","True","2","True","u'full_bar'","True","True",NA,"False","True","True","u'no'",NA,NA,"True",NA,"True","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0:0-0:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-22:0","11:0-22:0","11:0-21:0","American (Traditional), Food, Smokehouse, Restaurants, Seafood, Barbeque, Coffee & Tea, Salad","WI","Madison","False","False","False","True","False","False","False","True","True","False","False","False","False","False","False","False","False","False","False","True"
"10","ADJuhbDAaGSYf_julEwCuw","NJ4S3JX56JEZGWlAfpF9kw","for the love of god, fix the broken locks on every single stall in the women's bathroom.","2015-06-03 03:26:01",0,"Buck & Badger",91,1,2.5,"u'casual'","True","True","u'average'","True","True","True","2","True","u'full_bar'","True","True",NA,"True","False",NA,"'no'",NA,NA,NA,NA,"True",NA,NA,"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}","{'monday': False, 'tuesday': True, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': False}",NA,NA,NA,NA,NA,NA,NA,NA,"11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","Nightlife, Bars, Comfort Food, Food, Restaurants","WI","Madison","False","False","False","False","False","False","False","True","True","False","False","False","False","False","False","False","False","False","False","True"
