"","topics","frequency_rank"
"1","time","3"
"2","menu","6"
"3","beer","8"
"4","staff","15"
"5","wait","18"
"6","atmosphere","26"
"7","waitress","32"
"8","hour","36"
"9","day","40"
"10","wine","48"
"11","location","51"
"12","home","64"
"13","bartender","68"
"14","family","69"
"15","patio","75"
"16","seating","79"
"17","free","80"
"18","parking","81"
"19","mexican","82"
"20","game","83"
"21","quick","88"
"22","friday","89"
"23","reservation","91"
"24","fast","95"
"25","tap","96"
"26","cheap","97"
